model,axis,point,lo95,hi95,halfwidth
HuatuoGPT-V 7B,Safe,60.42,54.57,66.03,5.73
HuatuoGPT-V 7B,Ground,45.05,41.58,48.5,3.46
HuatuoGPT-V 7B,CS,50.39,47.73,53.47,2.87
GPT-4o,Acc_orig,59.33,53.0,65.0,6.0
GPT-4o,PR,63.33,57.0,68.33,5.67
GPT-4o,NEG,45.78,39.17,52.05,6.44
GPT-4o,SDR,50.61,42.42,57.86,7.72
GPT-4o,SFR_w,63.99,57.98,69.9,5.96
GPT-4o,VGR,3.65,-7.32,13.33,10.33
GPT-4o,ROI_masked,36.98,30.0,43.88,6.94
GPT-4o,Cap,54.76,50.42,58.69,4.14
GPT-4o,Safe,36.01,30.09,41.98,5.94
GPT-4o,Ground,45.31,41.92,48.25,3.16
GPT-4o,CS,44.05,40.44,47.17,3.36
Qwen3.5-9B,Acc_orig,43.33,38.0,49.33,5.67
Qwen3.5-9B,PR,48.0,42.33,53.67,5.67
Qwen3.5-9B,NEG,28.44,22.75,33.92,5.59
Qwen3.5-9B,SDR,32.32,24.84,39.11,7.13
Qwen3.5-9B,SFR_w,76.11,71.81,80.27,4.23
Qwen3.5-9B,VGR,12.5,5.88,19.19,6.65
Qwen3.5-9B,ROI_masked,7.29,3.59,10.86,3.63
Qwen3.5-9B,Cap,38.02,34.2,42.77,4.28
Qwen3.5-9B,Safe,23.89,19.55,28.15,4.3
Qwen3.5-9B,Ground,34.9,32.4,38.17,2.89
Qwen3.5-9B,CS,30.99,27.65,34.11,3.23
